states,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia_,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico
New_Jersey,67,"1,626",0,"9,613","1,505","2,187","1,720","1,187","13,591","1,817",305,255,972,312,163,248,112,353,101,"2,788","4,754",960,353,239,336,0,167,204,946,0,0,"64,810","6,359",288,"4,034",254,195,"24,132",223,"1,242",0,431,"6,504",19,0,"2,011","1,507",304,505,0,"5,863"
New_Mexico,197,"3,284",352,"7,524","4,877",55,0,30,"2,196",232,313,665,482,0,434,378,129,524,257,162,449,851,641,"1,010",675,303,344,868,538,"1,021",0,"1,099",405,205,"1,090","2,159","2,009","1,086",0,"1,270",0,776,"14,250","1,199",192,987,"2,714",204,285,248,725
New_York,415,"3,541",52,"25,255","4,553","14,420","1,328","2,802","24,084","7,994","1,181",491,"5,977","2,007","2,352","1,262",986,"2,069",731,"7,775","13,568","3,743","1,286",447,"2,335",372,866,"1,853","2,474","36,401",647,0,"9,270",294,"5,284","1,303","1,414","19,339","1,362","4,457",431,"3,144","14,708",364,"4,072","9,302","1,962","1,126","1,935",18,"9,431"
North_Carolina,"1,562","2,622","1,897","17,536","5,471","2,702","1,988","2,031","37,585","17,020","3,402",244,"6,544","3,506","1,976","1,815","3,906","2,454","1,235","8,717","5,822","5,793","3,342","3,441","2,993",331,"1,052",857,"1,862","11,947","2,306","25,596",0,177,"9,431","2,034","3,066","12,058","1,535","26,091",57,"7,476","18,748","1,735","1,208","27,843","6,790","4,624","1,920","1,046","2,393"
North_Dakota,112,530,464,"1,040",522,0,0,53,"1,355","1,194",204,433,467,113,166,306,0,778,0,281,0,411,"10,670",275,540,"2,167",13,14,0,170,"1,285","2,105",179,0,139,"1,631",399,733,0,114,"1,225",644,"1,098",321,0,132,683,0,475,290,119
Ohio,"1,200","2,432",583,"8,799","2,216","2,510",996,789,"15,037","5,178",735,334,"9,797","14,252","2,395",803,"16,598","1,463",761,"2,272","3,415","15,409","1,405","2,527","3,410",677,"1,796","1,460",28,"3,585","1,148","9,067","5,818",221,0,35,"1,737","16,881",42,"4,605",134,"5,467","8,189","1,922",314,"6,695","2,032","6,260","2,778",75,"2,248"
Oklahoma,661,"3,631","8,526","8,330","4,039",0,0,0,"5,489","1,590",931,216,"3,201",813,603,"5,393",214,"2,107",0,871,701,"1,395","1,167",446,"5,861",46,965,"1,106",0,390,"1,528","1,221",819,13,932,0,"1,595",941,56,803,302,"2,210","31,551","1,944",152,"1,352","1,258",0,392,641,"1,221"
Oregon,"4,317","7,736",436,"43,058","3,292",157,0,226,"3,824","1,203","2,729","5,745","2,022",854,139,899,942,238,406,327,"1,425","2,412","1,693","1,070",681,"1,515",96,"5,375",0,"1,143","1,440","2,842","3,570",238,"1,390",700,0,"1,107",0,817,354,303,"5,403","2,512",495,"1,628","21,672",185,419,"1,277",0
Pennsylvania,553,"3,269","1,486","11,568","4,822","3,891","5,999","1,336","17,029","4,255",783,110,"3,659","2,045",365,"1,065",921,986,916,"20,660","5,651","3,138","2,019","1,287",979,328,328,409,917,"43,726","1,335","43,048","7,579",446,"12,317","1,576","1,451",0,535,"3,272",455,"2,566","9,760","2,041","1,002","10,010","3,059","5,485","1,725",156,"11,188"
Puerto_Rico,0,195,0,520,722,"1,008",0,0,"5,916",173,212,0,594,0,0,0,0,0,0,202,"1,789",0,0,0,0,0,0,85,160,"1,758",0,"2,334",335,0,0,0,48,"1,214",411,103,0,123,"2,394",0,0,473,0,0,131,0,0
Rhode_Island,0,50,0,"2,219",504,"4,791",0,45,657,739,0,42,293,0,0,0,86,0,606,521,"11,413",151,0,0,287,0,37,42,677,"1,038",43,"3,252",673,173,623,0,87,422,0,43,0,0,960,194,134,"1,278",501,0,77,0,662
South_Carolina,715,"1,460","1,382","12,103","1,622","6,800",978,743,"15,772","16,110",857,0,"3,454","3,095","1,036","1,091","1,408","1,913",192,"7,826","4,451","2,721",366,895,"2,960",553,541,375,787,"4,921",944,"12,721","27,734",498,"5,784",228,748,"7,040","1,684",0,200,"5,666","5,387","2,112",439,"6,507","3,842","1,299","1,643",266,"3,505"
